flight_id,t,x,y,z
11,1139476,0.002318159,-0.049229608,0.361705796
11,1139481,0.003362555,-0.046280434,0.35994056
11,1139486,0.004245553,-0.043873502,0.35896617
11,1139491,0.005216686,-0.041209304,0.359107295
11,1139496,0.006160152,-0.038514979,0.3563632
11,1139501,0.007224256,-0.035801503,0.354537072
11,1139506,0.008316651,-0.032891057,0.35263649
11,1139511,0.009408087,-0.030239665,0.351683193
11,1139516,0.010422263,-0.027388751,0.349804966
11,1139521,0.011462638,-0.024716618,0.349180643
11,1139526,0.012517072,-0.022055069,0.347903981
11,1139531,0.013647205,-0.019261837,0.34439313
11,1139536,0.014945021,-0.016017503,0.343436979
11,1139541,0.015813489,-0.013704368,0.342773506
11,1139546,0.017092834,-0.010770489,0.340925538
11,1139551,0.018200771,-0.00792801,0.339092093
11,1139556,0.019329478,-0.005172765,0.338222907
11,1139561,0.020579875,-0.002366085,0.336354586
11,1139566,0.02165316,0.000871207,0.334367994
11,1139571,0.021802054,0.003312573,0.333054313
11,1139576,0.021363074,0.006634338,0.331832576
11,1139581,0.019896046,0.009817812,0.330805666
11,1139586,0.017818255,0.013180124,0.330022612
11,1139590,0.015920973,0.016301968,0.327151915
11,1139596,0.014154078,0.019387544,0.325326838
11,1139601,0.012973163,0.022886865,0.323015552
11,1139605,0.011848306,0.025895676,0.318986769
11,1139610,0.010574685,0.029043466,0.316345131
11,1139615,0.00914156,0.032446549,0.3117766
11,1139620,0.007714974,0.03562169,0.310057862
11,1139625,0.00642302,0.038627882,0.30825992
11,1139630,0.005123111,0.041975302,0.303893854
11,1139635,0.004041326,0.045147952,0.300715515
11,1139640,0.002696525,0.048389918,0.297976283
11,1139645,0.001404396,0.051474978,0.294579746
11,1139650,0.000286544,0.054538892,0.290371619
11,1139655,-0.000888592,0.057589819,0.290085973
11,1139660,-0.002027383,0.060624772,0.288380289
11,1139665,-0.003269037,0.063718425,0.287131449
11,1139670,-0.004680192,0.066887125,0.286540337
11,1139675,-0.005895475,0.069970841,0.282782097
